row_names;tree_id;Family;Provenance;Bloc;year;bai;avg_density;avg_double_cell_wall_thickness;lumen_diameter_radial;avg_lumen_diameter;CWR_radial;avg_CWR_100
1;157888;1;1;1;1996;769.1;384.2;3.436;22.744;22.054;2.282299405;2.434485136
2;157888;1;1;1;2002;481.4;464.7;4.352;22.658;22.458;3.689220629;3.7561155925
3;157888;1;1;1;2003;1055.1;419.1;4.214;26.006;24.536;2.625680907;2.9816796495
4;157888;1;1;1;2004;809.7;426.1;4.158;24.522;23.692;2.875128064;3.0914689305
5;157888;1;1;1;2000;1094.6;370.9;3.668;26.092;24.647;1.976259244;2.237749179
6;157888;1;1;1;1997;929.1;418.6;3.75;23.5;21.62;2.546401086;3.0776230815
7;157888;1;1;1;1998;1071.3;394.7;3.716;24.984;23.164;2.21221569;2.6216561755
8;157888;1;1;1;1999;1240.1;383;3.742;26.298;24.188;2.02470672;2.448696196
9;157888;1;1;1;1995;1004.2;383.7;3.556;24.274;22.874;2.146054809;2.4441226075
10;157888;1;1;1;2001;718.1;393.7;3.796;24.784;24.134;2.345900602;2.479356608
11;157888;1;1;1;2005;NA;NA;NA;NA;NA;NA;NA
12;157890;2;1;1;1995;639.8;432.4;3.99;21.45;21.995;3.460120299;3.2968399805
13;157890;2;1;1;1998;1070.9;398.8;3.97;24.85;23.99;2.552279472;2.7491295795
14;157890;2;1;1;2005;526.8;438.1;4.67;25.28;25.765;3.412554704;3.2887825675
15;157890;2;1;1;1999;1160;390.3;3.986;25.414;24.814;2.459962788;2.5848947285
16;157890;2;1;1;2003;469.5;431.3;4.532;24.798;25.393;3.340000186;3.1905619445
17;157890;2;1;1;2001;890.4;406.6;4.514;26.376;26.536;2.928904702;2.8940068825
18;157890;2;1;1;2002;497.4;429.6;4.602;24.828;25.833;3.435656651;3.1879826845
19;157890;2;1;1;2004;700.9;430.4;4.682;26.208;25.963;3.191501542;3.252887866
20;157890;2;1;1;1996;755.1;399.3;3.764;23.616;22.841;2.540309014;2.725017196
21;157890;2;1;1;1997;557.6;416.3;4.036;22.754;23.319;3.146203484;3.0008715515
22;157890;2;1;1;2000;1009.6;402.3;4.324;26.846;26.136;2.594252231;2.7431827075
23;157899;3;1;1;2004;1374;441.2;4.91;27.14;26.495;3.272979594;3.440387451
