row_names;tree_id;Family;Provenance;Bloc;Recovery_2002;Relative_resilience_2002;Resilience_2002;Resistance_2002
1;157888;1;1;1;1.94;0.5;1.03;0.53
2;157890;2;1;1;1.18;0.09;0.62;0.52
3;157899;3;1;1;0.71;-0.19;0.46;0.65
4;157903;6;2;1;1.47;0.24;0.76;0.51
5;157905;162;33;1;1.24;0.16;0.86;0.69
6;157912;5;1;1;1.23;0.2;1.04;0.84
7;157916;6;2;1;0.91;-0.06;0.62;0.69
8;157918;8;2;1;1.48;0.41;1.26;0.85
9;157920;6;2;1;1.26;0.19;0.93;0.73
10;157923;7;2;1;1.21;0.16;0.92;0.76
11;157925;8;2;1;1;0;0.81;0.81
12;157936;8;2;1;1.09;0.06;0.7;0.64
13;157942;9;2;1;0.91;-0.07;0.68;0.75
14;157947;10;2;1;1.09;0.07;0.84;0.77
15;157950;8;2;1;1.2;0.14;0.86;0.72
16;157957;12;3;1;0.91;-0.06;0.59;0.65
17;157960;12;3;1;1.35;0.26;1.01;0.75
18;157964;12;3;1;1.48;0.31;0.94;0.64
19;157970;13;3;1;1.01;0.01;0.71;0.7
20;157974;15;3;1;0.87;-0.08;0.56;0.65
21;157978;14;3;1;1.21;0.16;0.91;0.75
22;157982;15;3;1;1.02;0.01;0.62;0.61
23;157986;16;4;1;0.91;-0.07;0.77;0.84
24;157992;17;4;1;0.85;-0.1;0.57;0.67
25;157995;17;4;1;1.15;0.11;0.85;0.74
26;157997;17;4;1;1.34;0.27;1.04;0.77
27;157999;17;4;1;1.04;0.03;0.81;0.79
28;158011;20;4;1;1.17;0.13;0.92;0.79
29;158013;21;5;1;1.43;0.31;1.04;0.73
30;158015;21;5;1;0.96;-0.03;0.65;0.68
31;158018;21;5;1;1.34;0.27;1.06;0.79
32;158022;22;5;1;0.8;-0.1;0.41;0.51
33;158024;22;5;1;0.8;-0.14;0.55;0.68
34;158029;129;26;1;1.26;0.2;0.95;0.75
35;158036;24;5;1;1.43;0.28;0.93;0.65
36;158038;24;5;1;0.94;-0.04;0.54;0.57
37;158044;25;5;1;1.68;0.54;1.32;0.78
38;158055;27;6;1;0.99;-0.01;0.59;0.6
39;158058;28;6;1;1.08;0.08;1.06;0.98
40;158074;30;6;1;1.08;0.04;0.53;0.49
41;158079;7;2;1;1.26;0.17;0.81;0.64
42;158087;32;7;1;1.21;0.16;0.89;0.74
43;158090;33;7;1;1.52;0.4;1.18;0.77
44;158096;34;7;1;0.86;-0.12;0.75;0.87
45;158104;35;7;1;0.81;-0.17;0.71;0.88
46;158116;37;8;1;1.2;0.14;0.83;0.69
47;158119;37;8;1;0.68;-0.25;0.53;0.79
48;158123;38;8;1;0.99;-0.01;0.6;0.61
49;158125;38;8;1;1;0;0.69;0.69
50;158129;40;8;1;1.19;0.11;0.68;0.57
51;158137;40;8;1;1.18;0.13;0.82;0.69
52;158139;40;8;1;1.5;0.31;0.94;0.62
53;158143;41;9;1;1.27;0.16;0.78;0.62
54;158148;41;9;1;2.05;0.5;0.97;0.48
55;158156;41;9;1;1.21;0.15;0.87;0.72
56;158160;41;9;1;1.44;0.31;1;0.69
57;158169;41;9;1;1.03;0.02;0.75;0.73
58;158172;46;10;1;1.53;0.34;0.97;0.63
59;158176;46;10;1;1.23;0.19;1.02;0.83
60;158178;46;10;1;1.42;0.26;0.88;0.62
61;158183;49;10;1;1.22;0.15;0.85;0.7
62;158191;46;10;1;1.21;0.11;0.66;0.55
63;158195;49;10;1;1.15;0.11;0.87;0.76
64;158198;49;10;1;1.02;0.01;0.73;0.71
65;158201;49;10;1;1.79;0.32;0.72;0.4
66;158204;49;10;1;1.2;0.14;0.83;0.69
67;158209;51;11;1;1.1;0.09;1.08;0.99
68;158211;51;11;1;0.97;-0.03;0.83;0.86
69;158224;54;11;1;0.76;-0.17;0.53;0.7
70;158233;55;11;1;1.33;0.29;1.17;0.88
71;158237;56;12;1;1.05;0.03;0.67;0.64
72;158239;56;12;1;1.04;0.02;0.56;0.54
73;158246;57;12;1;1.03;0.02;0.78;0.76
74;158256;59;12;1;0.86;-0.1;0.59;0.69
75;158270;61;13;1;0.94;-0.04;0.62;0.66
76;158276;61;13;1;0.9;-0.08;0.68;0.76
77;158281;61;13;1;0.86;-0.09;0.56;0.65
78;158285;61;13;1;0.83;-0.11;0.51;0.62
79;158291;61;13;1;0.89;-0.08;0.61;0.69
80;158295;61;13;1;0.83;-0.11;0.54;0.65
81;158301;66;14;1;1.14;0.09;0.69;0.6
82;158305;67;14;1;1.24;0.16;0.84;0.67
83;158307;67;14;1;1.17;0.12;0.85;0.73
84;158313;68;14;1;1.51;0.4;1.19;0.79
85;158321;69;14;1;1.26;0.2;0.95;0.75
86;158324;70;14;1;1.05;0.03;0.7;0.66
87;158328;70;14;1;0.92;-0.06;0.63;0.69
88;158330;71;15;1;1.01;0;0.67;0.67
89;158341;72;15;1;1.21;0.12;0.7;0.58
90;158358;75;15;1;0.85;-0.1;0.6;0.7
91;158362;75;15;1;0.88;-0.08;0.63;0.71
92;158369;76;16;1;1.01;0.01;0.71;0.7
93;158373;77;16;1;1.08;0.05;0.7;0.64
94;158376;77;16;1;1.02;0.02;0.78;0.76
95;158378;77;16;1;1.32;0.18;0.72;0.55
96;158392;80;16;1;1.6;0.38;1.03;0.64
97;158399;81;17;1;1;0;0.57;0.58
98;158404;81;17;1;1.26;0.2;0.97;0.77
99;158409;82;17;1;1.09;0.05;0.65;0.6
100;158417;81;17;1;1.41;0.28;0.95;0.67
101;158420;84;17;1;0.94;-0.04;0.63;0.67
102;158430;77;16;1;0.85;-0.1;0.59;0.69
103;158433;86;18;1;1.32;0.19;0.8;0.61
104;158435;86;18;1;1.03;0.03;0.84;0.81
105;158449;101;21;1;1.53;0.3;0.87;0.57
106;158455;89;18;1;0.92;-0.06;0.64;0.7
107;158459;101;21;1;1.46;0.33;1.04;0.71
108;158461;101;21;1;0.86;-0.09;0.58;0.67
109;158465;90;18;1;0.92;-0.05;0.6;0.65
110;158471;91;19;1;1.19;0.13;0.79;0.66
111;158474;92;19;1;1.15;0.12;0.91;0.79
112;158479;93;19;1;1.24;0.15;0.78;0.63
113;158482;93;19;1;1.31;0.24;0.99;0.75
114;158487;94;19;1;1.18;0.13;0.87;0.74
115;158489;94;19;1;1.06;0.04;0.69;0.65
116;158494;95;19;1;1.24;0.17;0.88;0.71
117;158496;95;19;1;0.91;-0.07;0.69;0.75
118;158500;108;22;1;1.18;0.11;0.76;0.64
119;158506;97;20;1;1.59;0.49;1.32;0.83
120;158513;179;36;1;0.83;-0.11;0.55;0.66
121;158519;99;20;1;1.03;0.02;0.75;0.73
122;158524;100;20;1;1.26;0.19;0.93;0.74
123;158527;108;22;1;0.83;-0.09;0.44;0.53
124;158533;101;21;1;1.37;0.28;1.03;0.75
125;158537;102;21;1;1.31;0.28;1.17;0.89
126;158542;102;21;1;1.36;0.25;0.93;0.68
127;158545;103;21;1;1.19;0.13;0.79;0.66
128;158549;103;21;1;1.11;0.07;0.71;0.64
129;158554;104;21;1;1.08;0.05;0.65;0.6
130;158556;104;21;1;1.52;0.36;1.05;0.69
131;158558;105;21;1;1.1;0.07;0.76;0.69
132;158561;105;21;1;0.96;-0.03;0.66;0.69
133;158571;106;22;1;1.18;0.13;0.83;0.7
134;158579;107;22;1;1.26;0.21;1.04;0.83
135;158582;107;22;1;0.84;-0.12;0.61;0.73
136;158585;108;22;1;1.17;0.12;0.84;0.72
137;158587;108;22;1;1.11;0.08;0.84;0.75
138;158590;108;22;1;1.48;0.31;0.94;0.63
139;158599;77;16;1;1.15;0.09;0.67;0.58
140;158606;111;23;1;1.43;0.29;0.96;0.67
141;158609;111;23;1;0.92;-0.11;1.33;1.45
142;158614;117;24;1;1.39;0.29;1.01;0.73
143;158617;111;23;1;1.68;0.82;2.03;1.21
144;158622;111;23;1;1.42;0.34;1.15;0.81
145;158628;114;23;1;0.65;-0.23;0.43;0.66
146;158632;95;19;1;0.96;-0.03;0.7;0.73
147;158635;95;19;1;1.02;0.01;0.69;0.68
148;158639;116;24;1;1.15;0.12;0.96;0.84
149;158645;117;24;1;1.16;0.1;0.73;0.63
150;158648;117;24;1;0.93;-0.05;0.75;0.81
151;158651;118;24;1;0.84;-0.09;0.47;0.56
152;158659;19;4;1;0.88;-0.12;0.93;1.05
153;158665;120;24;1;1.39;0.28;0.99;0.71
154;158671;121;25;1;1.13;0.07;0.59;0.52
155;158675;122;25;1;0.59;-0.24;0.35;0.59
156;158679;122;25;1;0.49;-0.87;0.83;1.69
157;158683;123;25;1;0.84;-0.11;0.57;0.68
158;158691;124;25;1;1.03;0.02;0.61;0.59
159;158697;125;25;1;1.46;0.27;0.85;0.58
160;158700;126;26;1;1.14;0.09;0.77;0.68
161;158704;126;26;1;0.81;-0.14;0.59;0.73
162;158710;127;26;1;0.76;-0.14;0.46;0.6
163;158713;128;26;1;0.61;-0.32;0.5;0.82
164;158719;129;26;1;1.02;0.01;0.7;0.69
165;158721;129;26;1;1.68;0.52;1.28;0.76
166;158728;130;26;1;1.16;0.1;0.74;0.64
167;158730;130;26;1;1.11;0.06;0.66;0.6
168;158737;131;27;1;0.98;-0.01;0.61;0.62
169;158739;132;27;1;1.27;0.24;1.11;0.87
170;158746;133;27;1;1.41;0.26;0.91;0.65
171;158750;133;27;1;1.01;0.01;0.74;0.73
172;158754;134;27;1;0.8;-0.15;0.6;0.75
173;158757;134;27;1;1.14;0.12;0.99;0.87
174;158760;135;27;1;0.99;-0.01;0.67;0.68
175;158763;135;27;1;1.19;0.12;0.71;0.6
176;158772;137;28;1;0.63;-0.39;0.66;1.05
177;158776;137;28;1;0.77;-0.16;0.54;0.7
178;158779;138;28;1;1.1;0.06;0.66;0.6
179;158787;139;28;1;1.61;0.37;0.99;0.62
180;158789;138;28;1;1.34;0.21;0.84;0.63
181;158791;140;28;1;0.64;-0.24;0.43;0.67
182;158793;140;28;1;NA;NA;NA;0.54
183;158805;142;29;1;0.82;-0.14;0.62;0.76
184;158807;142;29;1;1.28;0.19;0.86;0.67
185;158810;143;29;1;1.22;0.21;1.13;0.92
186;158813;143;29;1;1.04;0.03;0.71;0.68
187;158820;144;29;1;0.88;-0.1;0.7;0.79
188;158826;145;29;1;0.9;-0.05;0.47;0.52
189;158831;146;30;1;1.21;0.17;0.99;0.82
190;158839;147;30;1;1.12;0.08;0.74;0.66
191;158844;148;30;1;0.76;-0.17;0.55;0.73
192;158846;148;30;1;0.93;-0.05;0.67;0.71
193;158851;149;30;1;0.99;-0.01;0.74;0.75
194;158855;150;30;1;NA;NA;NA;0.53
195;158863;151;31;1;0.87;-0.09;0.62;0.71
196;158869;152;31;1;1.19;0.14;0.89;0.75
197;158872;152;31;1;1.53;0.42;1.22;0.8
198;158875;153;31;1;0.9;-0.07;0.6;0.67
199;158877;153;31;1;0.79;-0.13;0.5;0.62
200;158882;154;31;1;0.83;-0.13;0.62;0.74
201;158888;155;31;1;1.09;0.07;0.79;0.72
202;158891;155;31;1;1.03;0.02;0.74;0.72
203;158896;156;32;1;1.05;0.04;0.72;0.68
204;158901;157;32;1;0.67;-0.22;0.45;0.67
205;158903;157;32;1;1.09;0.06;0.73;0.67
206;158905;157;32;1;1.22;0.16;0.87;0.72
207;158909;158;32;1;1.23;0.13;0.69;0.56
208;158913;158;32;1;1.2;0.13;0.77;0.64
209;158916;159;32;1;1.11;0.07;0.7;0.63
210;158919;159;32;1;1.3;0.17;0.74;0.57
211;158924;160;32;1;0.92;-0.05;0.62;0.67
212;158926;160;32;1;1.16;0.1;0.72;0.62
213;158932;161;33;1;1.41;0.33;1.13;0.81
214;158943;163;33;1;0.66;-0.24;0.46;0.7
215;158945;163;33;1;1.14;0.09;0.74;0.65
216;158950;164;33;1;1.5;0.3;0.91;0.61
217;158957;165;33;1;0.84;-0.09;0.47;0.57
218;158959;165;33;1;NA;NA;NA;0.47
219;158967;166;34;1;1.01;0.01;0.62;0.61
220;158972;167;34;1;1.05;0.03;0.64;0.61
221;158975;168;34;1;1.23;0.14;0.76;0.62
222;158982;169;34;1;1.22;0.14;0.77;0.63
223;158989;170;34;1;1.08;0.06;0.83;0.76
224;158992;170;34;1;1.39;0.32;1.14;0.82
225;158995;171;35;1;1.14;0.09;0.71;0.62
226;158999;171;35;1;0.86;-0.12;0.73;0.85
227;159002;172;35;1;0.99;-0.01;0.69;0.7
228;159007;173;35;1;1.24;0.18;0.93;0.75
229;159012;173;35;1;0.96;-0.04;0.81;0.84
230;159014;174;35;1;1.2;0.11;0.67;0.56
231;159016;174;35;1;1.24;0.14;0.71;0.57
232;159018;174;35;1;0.98;-0.01;0.69;0.7
233;159022;175;35;1;0.94;-0.04;0.68;0.72
234;159027;175;35;1;1.44;0.34;1.13;0.78
235;159030;176;36;1;1.42;0.28;0.95;0.67
236;159032;176;36;1;1.05;0.03;0.65;0.62
237;159037;177;36;1;1.12;0.09;0.79;0.7
238;159044;178;36;1;1.27;0.17;0.82;0.65
239;159047;178;36;1;1.19;0.13;0.83;0.7
240;159050;179;36;1;0.83;-0.1;0.49;0.6
241;159056;180;36;1;2.18;0.77;1.42;0.65
242;159062;147;30;1;0.93;-0.05;0.7;0.75
243;159065;181;37;1;1.15;0.09;0.68;0.59
244;159073;182;37;1;1.04;0.02;0.67;0.64
245;159076;183;37;1;0.96;-0.03;0.66;0.69
246;159079;183;37;1;1.27;0.16;0.74;0.58
247;159089;185;37;1;1.2;0.12;0.7;0.58
248;159097;186;38;1;1.23;0.18;0.94;0.77
249;159103;187;38;1;1.26;0.22;1.08;0.86
250;159106;187;38;1;1.03;0.03;0.81;0.79
251;159112;188;38;1;1.22;0.16;0.91;0.75
252;159117;189;38;1;0.98;-0.02;0.73;0.74
253;159121;190;38;1;0.8;-0.11;0.46;0.57
254;159124;190;38;1;0.81;-0.13;0.57;0.7
255;159126;190;38;1;0.87;-0.05;0.35;0.4
256;159128;191;39;1;1.43;0.23;0.77;0.54
257;159131;191;39;1;1.13;0.08;0.68;0.6
258;159135;192;39;1;1.2;0.16;0.98;0.82
259;159145;193;39;1;1.15;0.09;0.69;0.6
260;159147;194;39;1;1.13;0.07;0.6;0.54
261;159151;194;39;1;0.58;-0.27;0.39;0.66
262;159158;195;39;1;1.51;0.22;0.65;0.43
263;159161;196;40;1;1.56;0.47;1.3;0.83
264;159166;196;40;1;1.2;0.12;0.74;0.62
265;159171;197;40;1;0.95;-0.03;0.67;0.7
266;159177;198;40;1;1.09;0.07;0.78;0.72
267;159183;199;40;1;1.15;0.1;0.76;0.66
268;159188;199;40;1;1.48;0.3;0.92;0.62
269;159194;200;40;1;1;0;0.68;0.67
270;159197;200;40;1;NA;NA;NA;0.64
271;159199;201;41;1;0.87;-0.1;0.65;0.75
272;159204;201;41;1;1.06;0.05;0.82;0.77
273;159208;202;41;1;1.02;0.01;0.58;0.57
274;159212;203;41;1;0.93;-0.05;0.59;0.64
275;159225;205;41;1;1.07;0.05;0.76;0.71
276;159231;206;42;1;1.37;0.23;0.87;0.64
277;159236;207;42;1;1.41;0.38;1.3;0.93
278;159240;207;42;1;1.57;0.29;0.81;0.52
279;159242;207;42;1;1.35;0.2;0.79;0.59
280;159244;208;42;1;1.44;0.24;0.81;0.56
281;159247;208;42;1;1.17;0.12;0.8;0.68
282;159250;208;42;1;1.51;0.25;0.73;0.49
283;159252;209;42;1;1.14;0.11;0.86;0.75
284;159260;210;42;1;0.93;-0.04;0.58;0.62
285;159271;214;43;1;1.14;0.1;0.78;0.69
286;159273;214;43;1;0.92;-0.05;0.59;0.64
287;159276;213;43;1;1.64;0.33;0.86;0.52
288;159284;214;43;1;0.88;-0.08;0.63;0.71
289;159288;215;43;1;1.17;0.14;0.93;0.8
290;159291;215;43;1;0.7;-0.2;0.45;0.65
291;159303;5;1;2;0.92;-0.05;0.64;0.69
